logKd,PH,Salinity,Temperature,Water Type
3.68,7.0,0.0001,25.0,DI
3.46,6.98,0.0,25.0,DI
3.24,6.98,0.0,25.0,DI
4.0,6.98,0.0,25.0,DI
2.89,6.98,0.0,25.0,DI
4.52,6.0,0.0,18.0,DI
3.36,8.1,0.15,18.0,SS
4.71,8.1,0.3,18.0,SS
4.71,8.1,0.45,18.0,SS
4.56,8.1,0.7,18.0,SS
8.51,6.0,0.0,18.0,DI
9.17,8.1,0.15,18.0,SS
8.1,8.1,0.3,18.0,SS
6.44,8.1,0.45,18.0,SS
7.01,8.1,0.7,18.0,SS
5.22,6.0,0.0,18.0,DI
5.56,8.1,0.15,18.0,SS
6.14,8.1,0.3,18.0,SS
7.59,8.1,0.45,18.0,SS
6.3,8.1,0.7,18.0,SS
7.47,6.0,0.0,18.0,DI
8.18,8.1,0.15,18.0,SS
8.1,8.1,0.3,18.0,SS
