logKd,LogKow,E,S,A,B,V
2.25,4.93,2.81,1.71,0.0,0.28,1.5846
2.25,4.93,2.81,1.71,0.0,0.28,1.5846
2.32,4.93,2.81,1.71,0.0,0.28,1.5846
2.26,4.93,2.81,1.71,0.0,0.28,1.5846
2.23,4.93,2.81,1.71,0.0,0.28,1.5846
2.19,4.93,2.81,1.71,0.0,0.28,1.5846
2.19,4.93,2.81,1.71,0.0,0.28,1.5846
1.5,2.07,1.6,1.72,0.36,2.15,3.0239
2.87,4.35,2.29,1.34,0.0,0.28,1.4544
2.33,1.58,2.59,2.01,0.0,2.3,2.9165
2.33,3.67,1.28,1.94,0.0,1.27,2.4713
2.08,1.58,2.59,2.01,0.0,2.3,2.9165
2.09,3.67,1.28,1.94,0.0,1.27,2.4713
1.05,6.77,2.32,1.45,0.0,0.34,2.0829
1.64,-2.9,3.6,3.05,1.65,3.5,3.1579
2.65,-2.9,3.6,3.05,1.65,3.5,3.1579
4.01,4.35,2.06,1.29,0.0,0.29,1.4544
4.79,3.94,1.8,1.77,0.86,1.1,2.1988
3.37,3.94,1.8,1.77,0.86,1.1,2.1988
2.91,3.94,1.8,1.77,0.86,1.1,2.1988
2.05,3.94,1.8,1.77,0.86,1.1,2.1988
1.64,3.94,1.8,1.77,0.86,1.1,2.1988
1.62,3.94,1.8,1.77,0.86,1.1,2.1988
1.45,3.94,1.8,1.77,0.86,1.1,2.1988
1.39,3.94,1.8,1.77,0.86,1.1,2.1988
1.15,3.94,1.8,1.77,0.86,1.1,2.1988
1.2,3.94,1.8,1.77,0.86,1.1,2.1988
0.9,2.71,0.73,1.39,0.0,0.89,1.7106
2.9,4.67,0.7,1.27,0.0,0.95,2.2742
0.95,2.71,0.73,1.39,0.0,0.89,1.7106
2.95,4.67,0.7,1.27,0.0,0.95,2.2742
1.23,2.71,0.73,1.39,0.0,0.89,1.7106
3.31,4.67,0.7,1.27,0.0,0.95,2.2742
2.13,-0.18,3.5,3.6,1.35,3.29,3.0992
2.07,-0.18,3.5,3.6,1.35,3.29,3.0992
1.8,-0.18,3.5,3.6,1.35,3.29,3.0992
2.07,-0.18,3.5,3.6,1.35,3.29,3.0992
2.01,-0.18,3.5,3.6,1.35,3.29,3.0992
1.78,-0.18,3.5,3.6,1.35,3.29,3.0992
1.89,-0.18,3.5,3.6,1.35,3.29,3.0992
1.31,-0.31,1.98,2.5,0.05,2.39,2.2724
1.22,-0.31,1.98,2.5,0.05,2.39,2.2724
0.96,-0.31,1.98,2.5,0.05,2.39,2.2724
1.21,-0.31,1.98,2.5,0.05,2.39,2.2724
0.81,-0.31,1.98,2.5,0.05,2.39,2.2724
0.93,-0.31,1.98,2.5,0.05,2.39,2.2724
0.72,-0.31,1.98,2.5,0.05,2.39,2.2724
0.84,-0.31,1.98,2.5,0.05,2.39,2.2724
1.11,3.64,1.61,1.56,0.99,0.91,1.8643
0.87,3.64,1.61,1.56,0.99,0.91,1.8643
1.15,3.64,1.61,1.56,0.99,0.91,1.8643
0.3,3.64,1.61,1.56,0.99,0.91,1.8643
1.28,3.64,1.61,1.56,0.99,0.91,1.8643
-0.25,3.64,1.61,1.56,0.99,0.91,1.8643
4.94,3.64,1.61,1.56,0.99,0.91,1.8643
0.19,3.64,1.61,1.56,0.99,0.91,1.8643
0.68,3.64,1.61,1.56,0.99,0.91,1.8643
3.06,3.64,1.61,1.56,0.99,0.91,1.8643
2.93,3.17,1.34,0.92,0.0,0.2,1.0854
1.5,3.17,1.34,0.92,0.0,0.2,1.0854
1.65,3.17,1.34,0.92,0.0,0.2,1.0854
1.16,3.17,1.34,0.92,0.0,0.2,1.0854
2.45,4.35,2.06,1.29,0.0,0.29,1.4544
1.51,4.35,2.06,1.29,0.0,0.29,1.4544
2.44,4.35,2.06,1.29,0.0,0.29,1.4544
0.84,4.35,2.06,1.29,0.0,0.29,1.4544
3.13,4.35,2.06,1.29,0.0,0.29,1.4544
4.56,4.35,2.06,1.29,0.0,0.29,1.4544
3.29,4.35,2.06,1.29,0.0,0.29,1.4544
3.36,4.35,2.06,1.29,0.0,0.29,1.4544
3.37,4.35,2.06,1.29,0.0,0.29,1.4544
3.52,4.35,2.06,1.29,0.0,0.29,1.4544
3.61,4.35,2.06,1.29,0.0,0.29,1.4544
3.62,4.35,2.06,1.29,0.0,0.29,1.4544
3.74,4.35,2.06,1.29,0.0,0.29,1.4544
4.1,4.35,2.06,1.29,0.0,0.29,1.4544
4.2,4.35,2.06,1.29,0.0,0.29,1.4544
4.27,4.35,2.06,1.29,0.0,0.29,1.4544
1.73,1.81,0.87,1.11,0.0,0.28,0.8906
2.15,1.81,0.87,1.11,0.0,0.28,0.8906
2.43,1.81,0.87,1.11,0.0,0.28,0.8906
2.57,1.81,0.87,1.11,0.0,0.28,0.8906
2.84,1.81,0.87,1.11,0.0,0.28,0.8906
3.19,1.81,0.87,1.11,0.0,0.28,0.8906
3.19,1.81,0.87,1.11,0.0,0.28,0.8906
2.35,3.52,1.65,1.63,0.0,0.62,1.7391
2.49,3.52,1.65,1.63,0.0,0.62,1.7391
2.59,3.52,1.65,1.63,0.0,0.62,1.7391
2.75,3.52,1.65,1.63,0.0,0.62,1.7391
2.84,3.52,1.65,1.63,0.0,0.62,1.7391
2.13,3.52,1.65,1.63,0.0,0.62,1.7391
