logKMP,Ageing_Status,Water Type,Plastic Density,SSA,Particle Size,LogKow,E,S,A,B,V,PH,Salinity,Temperature
5.083,Pristine,DI,0.95,,25.0,6.34,1.88,1.48,0.0,0.15,1.8138,6.0,0.0,25.0
5.301,Pristine,DI,0.95,,25.0,5.69,1.77,1.33,0.0,0.15,1.6914,6.0,0.0,25.0
4.98,Pristine,Seawater,0.9,,3000.0,5.05,1.62,1.2,0.0,0.18,1.569,8.1,0.5,12.0
5.09,Pristine,Seawater,0.9,,3000.0,5.69,1.76,1.33,0.0,0.15,1.6914,8.1,0.5,12.0
5.09,Pristine,Seawater,0.9,,3000.0,6.34,1.9,1.48,0.0,0.15,1.8138,8.1,0.5,12.0
5.14,Pristine,Seawater,0.9,,3000.0,6.34,1.9,1.48,0.0,0.15,1.8138,8.1,0.5,12.0
5.63,Pristine,Seawater,0.9,,3000.0,6.57,1.94,1.44,0.0,0.11,1.8138,8.1,0.5,12.0
5.26,Pristine,Seawater,0.9,,3000.0,6.34,1.91,1.46,0.0,0.13,1.8138,8.1,0.5,12.0
5.71,Pristine,Seawater,0.9,,3000.0,7.21,2.06,1.59,0.0,0.11,1.9362,8.1,0.5,12.0
5.77,Pristine,Seawater,0.9,,3000.0,6.98,2.04,1.59,0.0,0.11,1.9362,8.1,0.5,12.0
5.51,Pristine,Seawater,0.9,,3000.0,6.98,2.04,1.61,0.0,0.13,1.9362,8.1,0.5,12.0
5.26,Pristine,Seawater,0.9,,3000.0,6.98,2.02,1.61,0.0,0.13,1.9362,8.1,0.5,12.0
5.63,Pristine,Seawater,0.9,,3000.0,6.98,2.04,1.61,0.0,0.13,1.9362,8.1,0.5,12.0
5.51,Pristine,Seawater,0.9,,3000.0,6.98,2.03,1.59,0.0,0.12,1.9949,8.1,0.5,12.0
6.19,Pristine,Seawater,0.9,,3000.0,7.62,2.16,1.74,0.0,0.11,2.0586,8.1,0.5,12.0
6.06,Pristine,Seawater,0.9,,3000.0,7.62,2.19,1.74,0.0,0.11,2.0586,8.1,0.5,12.0
6.19,Pristine,Seawater,0.9,,3000.0,7.62,2.18,1.74,0.0,0.11,2.0586,8.1,0.5,12.0
5.77,Pristine,Seawater,0.9,,3000.0,7.62,2.18,1.74,0.0,0.11,2.0586,8.1,0.5,12.0
4.5,Pristine,DI,0.94,,125.0,3.56,2.47,1.73,0.0,0.53,1.6286,6.0,0.0,25.0
4.21,Pristine,DI,0.91,,125.0,3.56,2.47,1.73,0.0,0.53,1.6286,6.0,0.0,25.0
