logKd,MPs types,Ageing_Status,Plastic Density,SSA,Particle Size
1.21,PS,Pristine,1.05,0.165,200.0
0.81,PE,Pristine,0.95,0.544,200.0
0.93,PE,Pristine,0.95,0.544,200.0
0.72,PP,Pristine,,0.322,200.0
0.84,PP,Pristine,,0.322,200.0
1.11,PE,Pristine,0.94,0.428,510.9
0.87,PE,Pristine,0.93,0.257,150.0
1.15,PE,Pristine,0.955,0.415,54.4
0.3,PP,Pristine,0.91,0.964,144.4
1.28,PS,Pristine,1.05,0.343,59.0
-0.25,PVC,Pristine,1.4,1.03,80.0
4.94,PA,Pristine,1.14,0.544,29.7
0.19,PMMA,Pristine,1.18,0.164,350.0
0.68,PET,Pristine,1.38,,
3.06,PU,Pristine,1.25,,
2.93,PET,Pristine,1.38,,2000.0
1.5,PET,Pristine,1.38,,2000.0
1.65,PET,Pristine,1.38,,2000.0
1.16,PET,Pristine,1.38,,2000.0
2.45,PET,Pristine,1.38,,2000.0
1.51,PET,Pristine,1.38,,2000.0
2.44,PET,Pristine,1.38,,2000.0
0.84,PET,Pristine,1.38,,2000.0
3.13,PET,Pristine,1.38,,2000.0
4.56,PE,Pristine,0.95,4.37,225.0
3.29,PP,Pristine,0.9,1.56,225.0
3.36,PVC,Pristine,1.4,,225.0
3.37,PVC,Pristine,1.4,1.76,127.0
3.52,PS,Pristine,1.05,0.4,170.0
3.61,PS,Pristine,1.05,0.9,102.0
3.62,PS,Pristine,1.05,1.3,50.0
3.74,PS,Pristine,1.05,1.4,30.0
4.1,PS,Pristine,1.05,7.2,0.8
4.2,PS,Pristine,1.05,24.6,0.235
4.27,PS,Pristine,1.05,63.4,0.05
1.73,PS,Pristine,1.05,0.4,170.0
2.15,PS,Pristine,1.05,0.9,102.0
2.43,PS,Pristine,1.05,1.3,50.0
2.57,PS,Pristine,1.05,1.4,30.0
2.84,PS,Pristine,1.05,7.2,0.8
3.19,PS,Pristine,1.05,24.6,0.235
3.19,PS,Pristine,1.05,63.4,0.05
2.35,PS,Pristine,1.05,1.79,550.0
2.49,PS,Pristine,1.05,2.57,250.0
2.59,PS,Pristine,1.05,3.63,75.0
2.75,PS,Pristine,1.05,21.55,5.0
2.84,PS,Pristine,1.05,28.97,0.5
2.13,PE,Pristine,0.95,1.64,550.0
2.33,PE,Pristine,0.95,1.9,250.0
2.45,PE,Pristine,0.95,2.87,75.0
1.93,PP,Pristine,0.9,1.55,550.0
2.28,PP,Pristine,0.9,1.84,250.0
2.48,PP,Pristine,0.9,3.33,75.0
4.84,PBAT,Pristine,1.26,2.21,2338.0
4.17,PE,Pristine,0.95,4.4,2628.0
4.13,PE,Pristine,0.95,2.47,400.0
3.15,PS,Pristine,1.05,0.92,250.0
2.82,PE,Pristine,0.95,,46.5
3.34,PE,Pristine,0.95,,46.5
3.5,PE,Pristine,0.95,,46.5
2.34,PS,Pristine,1.05,,75.0
2.47,PVC,Pristine,1.4,,75.0
3.65,PE,Pristine,0.95,2.088,154.35
3.8,PE,Pristine,0.95,2.088,154.35
3.57,PE,Pristine,0.95,2.088,154.35
3.89,PE,Pristine,0.95,2.088,154.35
4.22,PE,Pristine,0.95,2.088,154.35
4.3,PE,Pristine,0.95,2.088,154.35
4.82,PE,Pristine,0.95,2.088,154.35
4.82,PE,Pristine,0.95,2.088,154.35
3.62,PE,Pristine,0.95,0.248,3000.0
3.55,PE,Pristine,0.95,0.248,3000.0
3.8,PE,Pristine,0.95,0.248,3000.0
3.68,PE,Pristine,0.95,0.248,3000.0
4.02,PE,Pristine,0.95,0.248,3000.0
4.03,PE,Pristine,0.95,0.248,3000.0
4.32,PE,Pristine,0.95,0.248,3000.0
4.19,PE,Pristine,0.95,0.248,3000.0
3.92,PE,Pristine,0.95,0.66,219.0
4.04,PE,Pristine,0.95,0.66,219.0
4.0,PE,Pristine,0.95,0.66,219.0
4.3,PE,Pristine,0.95,0.66,219.0
4.09,PE,Pristine,0.95,0.66,219.0
4.56,PE,Pristine,0.95,0.66,219.0
4.94,PE,Pristine,0.95,0.66,219.0
4.63,PE,Pristine,0.95,0.66,219.0
4.12,PE,Pristine,0.95,5.781,219.0
3.98,PE,Pristine,0.95,5.781,219.0
3.98,PE,Pristine,0.95,5.781,219.0
3.81,PE,Pristine,0.95,5.781,219.0
4.15,PE,Pristine,0.95,5.781,219.0
4.56,PE,Pristine,0.95,5.781,219.0
5.12,PE,Pristine,0.95,5.781,219.0
5.12,PE,Pristine,0.95,5.781,219.0
4.05,PET,Pristine,1.38,0.164,3000.0
4.08,PET,Pristine,1.38,0.164,3000.0
4.08,PET,Pristine,1.38,0.164,3000.0
4.12,PET,Pristine,1.38,0.164,3000.0
4.39,PET,Pristine,1.38,0.164,3000.0
4.05,PET,Pristine,1.38,0.164,3000.0
4.98,PET,Pristine,1.38,0.164,3000.0
4.99,PET,Pristine,1.38,0.164,3000.0
3.47,PP,Pristine,0.9,,3000.0
3.44,PP,Pristine,0.9,,3000.0
3.65,PP,Pristine,0.9,,3000.0
3.59,PP,Pristine,0.9,,3000.0
3.7,PP,Pristine,0.9,,3000.0
3.74,PP,Pristine,0.9,,3000.0
3.77,PP,Pristine,0.9,,3000.0
3.83,PP,Pristine,0.9,,3000.0
2.93,PLA,Pristine,1.25,0.094,3000.0
2.99,PLA,Pristine,1.25,0.094,3000.0
2.85,PLA,Pristine,1.25,0.094,3000.0
2.86,PLA,Pristine,1.25,0.094,3000.0
2.92,PLA,Pristine,1.25,0.094,3000.0
2.92,PLA,Pristine,1.25,0.094,3000.0
3.12,PLA,Pristine,1.25,0.094,3000.0
3.13,PLA,Pristine,1.25,0.094,3000.0
3.89,PE,Pristine,0.95,0.129,220.0
3.65,PE,Pristine,0.95,0.042,220.0
3.42,PE,Pristine,0.95,0.027,220.0
3.92,PE,Pristine,0.95,0.248,220.0
3.89,PE,Pristine,0.95,0.107,220.0
3.81,PE,Pristine,0.95,0.085,220.0
3.42,PE,Pristine,0.95,0.129,220.0
1.76,PA,Pristine,1.14,0.129,220.0
3.41,PA,Pristine,1.14,,220.0
3.38,PA,Pristine,1.14,,220.0
1.53,PA,Pristine,1.14,,220.0
4.18,PE,Pristine,0.95,0.352,50.0
2.01,PE,Pristine,0.95,0.352,50.0
2.55,PE,Pristine,0.95,0.352,50.0
4.06,PE,Pristine,0.92,1.579,12.0
1.57,PE,Pristine,0.92,1.579,12.0
2.87,PE,Pristine,0.92,1.579,12.0
4.35,PVC,Pristine,1.38,3.944,2.0
2.97,PVC,Pristine,1.38,3.944,2.0
3.06,PVC,Pristine,1.38,3.944,2.0
4.25,PP,Pristine,0.91,3.327,59.0
3.19,PP,Pristine,0.91,3.327,59.0
4.05,PP,Pristine,0.91,3.327,59.0
2.8,PS,Pristine,1.06,0.482,261.0
2.26,PS,Pristine,1.06,0.482,261.0
2.79,PS,Pristine,1.06,0.482,261.0
3.02,PP,Pristine,0.9,,637.5
2.7,PP,Pristine,0.9,,637.5
3.06,PA,Pristine,1.14,0.3,350.0
3.29,PA,Pristine,1.14,0.3,350.0
3.1,PA,Pristine,1.14,0.3,350.0
3.02,PA,Pristine,1.14,0.3,350.0
2.72,PA,Pristine,1.14,0.3,350.0
2.77,PA,Pristine,1.14,0.3,350.0
5.18,PBS,Pristine,1.26,0.04,175.0
4.28,PBS,Pristine,1.26,0.04,175.0
2.26,PS,Pristine,1.05,0.19,175.0
2.81,PBS,Pristine,1.26,0.04,175.0
1.94,PBS,Pristine,1.26,0.04,175.0
5.21,PCL,Pristine,1.15,,175.0
4.56,PCL,Pristine,1.15,,175.0
2.95,PBS,Pristine,1.26,0.04,175.0
2.77,PCL,Pristine,1.15,,175.0
1.82,PCL,Pristine,1.15,,175.0
3.03,PCL,Pristine,1.15,,175.0
3.03,PU,Pristine,1.2,0.1,175.0
1.95,PU,Pristine,1.2,0.1,175.0
4.11,PS,Pristine,1.05,0.19,175.0
2.8,PS,Pristine,1.05,0.19,175.0
3.27,PU,Pristine,1.2,0.1,175.0
2.79,PS,Pristine,1.05,0.19,175.0
3.91,PS,Pristine,1.05,19.48,0.055
3.95,PS,Pristine,1.05,19.48,0.055
0.19,PE,Pristine,0.92,0.3884,94.0
0.17,PE,Pristine,0.92,0.3884,94.0
0.14,PE,Pristine,0.92,0.3884,94.0
-0.73,PE,Pristine,0.92,0.3884,94.0
-0.56,PE,Pristine,0.92,0.3884,94.0
1.66,PE,Pristine,0.92,0.3884,94.0
2.39,PE,Pristine,0.92,0.3884,94.0
-0.18,PE,Pristine,0.94,0.3548,94.0
0.12,PE,Pristine,0.94,0.3548,94.0
0.3,PE,Pristine,0.94,0.3548,94.0
-1.02,PE,Pristine,0.94,0.3548,94.0
-0.72,PE,Pristine,0.94,0.3548,94.0
-1.05,PP,Pristine,0.9,0.4836,94.0
0.19,PP,Pristine,0.9,0.4836,94.0
0.33,PP,Pristine,0.9,0.4836,94.0
-0.74,PP,Pristine,0.9,0.4836,94.0
-1.05,PP,Pristine,0.9,0.4836,94.0
0.19,PP,Pristine,0.9,0.4836,94.0
2.29,PP,Pristine,0.9,0.4836,94.0
-0.15,PVC,Pristine,1.4,0.6929,94.0
-0.25,PVC,Pristine,1.4,0.6929,94.0
0.26,PVC,Pristine,1.4,0.6929,94.0
-0.85,PVC,Pristine,1.4,0.6929,94.0
-0.85,PVC,Pristine,1.4,0.6929,94.0
-0.85,PVC,Pristine,1.4,0.6929,94.0
1.35,PVC,Pristine,1.4,0.6929,94.0
2.41,PVC,Pristine,1.4,0.6929,94.0
2.09,PE,Pristine,0.92,,4000.0
2.36,PE,Pristine,0.92,,4000.0
2.41,PE,Pristine,0.92,,4000.0
1.97,PP,Pristine,0.93,0.0004,4000.0
2.45,PP,Pristine,0.93,0.0004,4000.0
2.51,PP,Pristine,0.93,0.0004,4000.0
2.56,PA,Pristine,1.12,0.0017,4000.0
2.67,PA,Pristine,1.12,0.0017,4000.0
2.73,PA,Pristine,1.12,0.0017,4000.0
2.32,PS,Pristine,0.85,0.0054,4000.0
2.59,PS,Pristine,0.85,0.0054,4000.0
2.64,PS,Pristine,0.85,0.0054,4000.0
2.51,PA,Pristine,1.14,,125.0
1.46,PE,Pristine,0.95,,125.0
1.49,PS,Pristine,1.05,,125.0
1.49,PET,Pristine,1.38,,125.0
1.59,PVC,Pristine,1.4,,125.0
1.44,PP,Pristine,0.9,,125.0
2.77,PE,Pristine,0.95,1.0159,161.0
2.95,PP,Pristine,0.9,0.2218,218.0
3.38,PS,Pristine,1.05,1.9241,103.0
3.91,PVC,Pristine,1.4,2.6334,120.0
0.85,PE,Pristine,0.95,,25.0
1.18,PE,Pristine,0.95,,25.0
3.31,PE,Pristine,0.95,,25.0
1.12,PE,Pristine,0.95,,25.0
0.82,PE,Pristine,0.95,,25.0
1.49,PE,Pristine,0.95,,25.0
